	3440	53	0.20	19	0	0	23.10	0	0	
176	3470	3460	57	0.20	19	0	0	23.05	0	0
177	3460	3490	60	0.20	19	0	0	23.07	0	0
178	3450	3510	61	0.20	19	0	0	23.09	0	0
179	3440	3530	62	0.20	19	0	0	23.10	0	0
180	3470	3560	62	0.20	19	0	0	23.10	0	0
181	3490	3570	63	0.20	19	0	0	23.10	0	0
182	3510	3580	63	0.20	19	0	0	23.03	0	0
183	3530	3590	63	0.20	19	0	0	23.05	0	0
184	3540	3590	62	0.28	19	0	0	23.07	0	0
185	3720	4860	61	0.28	19	0	0	23.07	0	0
186	4010	5040	60	0.28	19	0	0	23.07	0	0
187	4280	5240	59	0.28	19	0	0	23.04	0	0
188	4520	31350	56	0.28	3	0	0	23.03	0	0
189	4660	31350	56	0.28	3	0	0	23.04	0	0
190	4730	31350	58	0.28	3	0	0	23.04	0	0
191	4800	31350	62	0.28	3	0	0	23.04	0	0
192	4850	31350	67	0.28	3	0	0	23.04	0	0
193	4870	31350	73	0.28	3	0	0	23.05	0	0
194	4900	31350	79	0.28	3	0	0	23.06	0	0
195	4930	31350	85	0.28	3	0	0	23.05	0	0
196	4980	31350	92	0.29	3	0	0	23.05	0	0
197	5020	31350	101	0.29	3	0	0	23.05	0	0
198	5060	31350	110	0.29	3	0	0	23.05	0	0
199	5130	31350	122	0.29	3	0	0	23.06	0	0
200	5220	31350	135	0.29	3	0	0	23.01	0	0
201	5300	31350	150	0.29	3	0	0	23.02	0	0
202	5910	31350	165	0.30	3	0	0	22.95	0	0
203	6840	31350	186	0.31	3	0	0	22.97	0	0
204	7940	31350	215	0.32	3	0	0	22.97	0	0
205	9370	31350	258	0.33	3	0	0	22.97	0	0
206	11150	31350	315	0.34	3	0	0	22.97	0	0
207	13010	31350	368	0.35	3	0	0	22.98	0	0
208	14070	31350	407	0.36	3	0	0	22.96	0	0
209	14390	31350	425	0.38	3	0	0	22.95	0	0
210	14640	31350	427	0.40	3	0	0	22.94	0	0
211	15000	31350	425	0.41	3	0	0	22.93	0	0
212	15680	31350	426	0.44	3	0	0	22.93	0	0
213	16460	31350	430	0.46	3	0	0	22.92	0	0
