[ 1.02  0.   -0.28 -0.24  0.05 -0.02]
1.0194,0.0035,-0.2769,0.1920,74.8047
1.0227,0.0032,-0.2969,0.1708,73.8120
1.0190,-0.0007,-0.2827,-0.0397,74.4942
1.0203,0.0029,-0.2747,0.1589,74.9322
1.0210,0.0032,-0.2771,0.1719,74.8147
1.0242,0.0042,-0.2700,0.2245,75.2286
1.0217,0.0039,-0.2700,0.2118,75.1950
1.0234,0.0027,-0.2769,0.1451,74.8622
1.0173,0.0046,-0.2693,0.2525,75.1718
1.0190,0.0142,-0.2759,0.7684,74.8328
1.0205,0.0081,-0.2690,0.4374,75.2245
1.0183,0.0071,-0.2759,0.3845,74.8366
1.0156,0.0066,-0.2810,0.3584,74.5301
1.0220,0.0015,-0.2817,0.0792,74.5873
1.0227,-0.0024,-0.2773,-0.1320,74.8265
1.0193,-0.0156,-0.2751,-0.8479,74.8704
1.0242,0.0037,-0.2703,0.1981,75.2162
1.0251,0.0012,-0.2812,0.0658,74.6582
1.0117,0.0029,-0.2839,0.1597,74.3226
1.0203,0.0083,-0.2864,0.4488,74.3149
1.0208,0.0066,-0.2747,0.3573,74.9357
1.0166,0.0090,-0.2690,0.4922,75.1686
1.0178,0.0066,-0.2781,0.3579,74.7152
1.0222,0.0059,-0.2800,0.3167,74.6769
1.0217,0.0022,-0.2795,0.1188,74.6981
1.0210,0.0046,-0.2805,0.2510,74.6351
1.0164,0.0085,-0.2742,0.4651,74.8964
1.0181,0.0132,-0.2727,0.7167,74.9877
1.0195,0.0022,-0.2705,0.1194,75.1399
1.0234,0.0046,-0.2708,0.2511,75.1797
1.0215,0.0037,-0.2783,0.1982,74.7575
1.0234,0.0146,-0.2727,0.7924,75.0591
1.0225,-0.0005,-0.2754,-0.0264,74.9256
1.0193,0.0022,-0.2698,0.1194,75.1749
1.0205,0.0049,-0.2803,0.2644,74.6406
1.0193,0.0005,-0.2781,0.0265,74.7402
1.0115,0.0125,-0.2827,0.6792,74.3695
1.0220,0.0081,-0.2952,0.4339,73.8845
1.0193,0.0059,-0.2795,0.3176,74.6604
1.0200,0.0120,-0.2864,0.6469,74.3046
1.0203,0.0056,-0.2913,0.3032,74.0645
1.0173,0.0061,-0.2844,0.3310,74.3768
1.0276,-0.0125,-0.2891,-0.6683,74.2748
1.0212,-0.0149,-0.2695,-0.8078,75.1938
1.0225,0.0122,-0.2729,0.6609,75.0390
1.0225,0.0210,-0.2507,1.1426,76.1752
1.0154,0.0198,-0.2642,1.0798,75.3782
1.0188,0.0083,-0.2637,0.4519,75.4830
1.0222,-0.0002,-0.2720,-0.0132,75.1009
1.0188,-0.0027,-0.2747,-0.1458,74.9116
1.0168,-0.0139,-0.2703,-0.7578,75.0968
1.0256,0.0029,-0.2795,0.1579,74.7533
1.0168,-0.0151,-0.2881,-0.8205,74.1611
1.0190,-0.0076,-0.2805,-0.4103,74.6037
1.0249,0.0059,-0.2781,0.3161,74.8168
1.0054,0.0117,-0.2703,0.6449,74.9400
1.0161,0.0105,-0.2686,0.5723,75.1847
1.0166,-0.0010,-0.2742,-0.0531,74.9068
1.0305,0.0137,-0.2698,0.7353,75.3119
1.0229,0.0037,-0.2715,0.1983,75.1354
1.0166,0.0105,-0.2837,0.5699,74.3976
1.0212,0.0132,-0.2668,0.7156,75.3392
1.0232,-0.0039,-0.2754,-0.2112,74.9345
